edit_positive_score,file,x1,y1,x2,y2,edit_positive_ratio,edit_positive_mean_delta,preserve_negative_ratio,text_occupancy_ratio,text_confidence_mean,text_confidence_occupied_mean
80.94609341421165,hw5k_3707.jpg,320,2240,576,2496,0.786956787109375,102.8596420288086,0.213043212890625,0.0,0.0,0.0
75.24347197730094,scut_457.jpg,800,1120,1056,1376,0.514129638671875,146.35116577148438,0.485870361328125,0.0317840576171875,0.026945702731609344,0.8477741479873657
73.7309595036786,hw5k_3707.jpg,320,2080,576,2336,0.7097930908203125,103.87669372558594,0.2902069091796875,0.154815673828125,0.1077210009098053,0.6958016157150269
71.7699224082753,hw5k_3707.jpg,480,2240,736,2496,0.75042724609375,95.63874816894531,0.24957275390625,0.0,0.0,0.0
69.85296509601176,hw5k_3707.jpg,1120,2240,1376,2496,0.74993896484375,93.14486694335938,0.25006103515625,0.0,0.0,0.0
69.26927134743892,hw5k_3707.jpg,640,2080,896,2336,0.6357879638671875,108.95027160644531,0.3642120361328125,0.1143341064453125,0.06730654835700989,0.588683009147644
68.48334491252899,hw5k_3707.jpg,480,2080,736,2336,0.6484375,105.61286926269531,0.3515625,0.1076812744140625,0.06339013576507568,0.588683009147644
68.15494615468197,hw5k_3707.jpg,0,2240,256,2496,0.7018280029296875,97.11061096191406,0.2981719970703125,0.0,0.0,0.0
68.03852853481658,hw5k_3707.jpg,960,2240,1216,2496,0.742340087890625,91.65412139892578,0.257659912109375,0.0,0.0,0.0
67.79447791632265,hw5k_3707.jpg,960,2080,1216,2336,0.6084442138671875,111.42266845703125,0.3915557861328125,0.17962646484375,0.1218530610203743,0.6783692240715027
67.625478124246,hw5k_3707.jpg,160,2080,416,2336,0.6719970703125,100.63359069824219,0.3280029296875,0.1478424072265625,0.10361595451831818,0.7008540630340576
67.04640213784296,hw5k_3707.jpg,640,2240,896,2496,0.7363739013671875,91.04940032958984,0.2636260986328125,0.0,0.0,0.0
66.1737971487455,hw5k_3707.jpg,0,2080,256,2336,0.67340087890625,98.26805877685547,0.32659912109375,0.087371826171875,0.05143430829048157,0.588683009147644
65.18812480440829,hw5k_3707.jpg,160,2240,416,2496,0.7003021240234375,93.0857162475586,0.2996978759765625,0.0,0.0,0.0
